score,next_action,name,chain,entity_type,address,category,liquidity_usd,tvl_usd,volume24h_usd,fdv_usd,price_change_24h_pct,verified_source,deployer_address,funding_cluster_id,source,url,reasons
113,recon_bravo_then_corecritical,0xf07f1760ade617c4f6c71bd7914bc6bd92e5899b,bsc,unknown_protocol,0xf07f1760ade617c4f6c71bd7914bc6bd92e5899b,fresh contract,0.0,548163147.6230354,0.0,0.0,0.0,,,,explorer_snapshot,,value_at_risk>=10000000:548163148;chain_weight:bsc:10;unknown_protocol:10;unfamiliar_contract:12;unknown_verification_status:8;hidden_high_value_contract:18;balance_spike:20
113,recon_bravo_then_corecritical,0x462b30a53c8552035506e82ce7b6a6c418b0477f,bsc,unknown_protocol,0x462b30a53c8552035506e82ce7b6a6c418b0477f,fresh contract,0.0,28649576.204923067,0.0,0.0,0.0,,,,explorer_snapshot,,value_at_risk>=10000000:28649576;chain_weight:bsc:10;unknown_protocol:10;unfamiliar_contract:12;unknown_verification_status:8;hidden_high_value_contract:18;balance_spike:20
108,recon_bravo_then_corecritical,0xaaee1a9723aadb7afa2810263653a34ba2c21c7a,ethereum,unknown_protocol,0xaaee1a9723aadb7afa2810263653a34ba2c21c7a,fresh contract,0.0,846449225.7618581,0.0,0.0,0.0,,,,explorer_snapshot,,value_at_risk>=10000000:846449226;chain_weight:ethereum:5;unknown_protocol:10;unfamiliar_contract:12;unknown_verification_status:8;hidden_high_value_contract:18;balance_spike:20
108,recon_bravo_then_corecritical,0xc2eab7d33d3cb97692ecb231a5d0e4a649cb539d,ethereum,unknown_protocol,0xc2eab7d33d3cb97692ecb231a5d0e4a649cb539d,fresh contract,0.0,13054458133603.207,0.0,0.0,0.0,,,,explorer_snapshot,,value_at_risk>=10000000:13054458133603;chain_weight:ethereum:5;unknown_protocol:10;unfamiliar_contract:12;unknown_verification_status:8;hidden_high_value_contract:18;balance_spike:20
108,recon_bravo_then_corecritical,0x73d8bd54f7cf5fab43fe4ef40a62d390644946db,ethereum,unknown_protocol,0x73d8bd54f7cf5fab43fe4ef40a62d390644946db,fresh contract,0.0,11658144.644937322,0.0,0.0,0.0,,,,explorer_snapshot,,value_at_risk>=10000000:11658145;chain_weight:ethereum:5;unknown_protocol:10;unfamiliar_contract:12;unknown_verification_status:8;hidden_high_value_contract:18;balance_spike:20
103,recon_bravo_then_corecritical,0x916f992df86795f24de6c268cfb9031fbb1155da,bsc,unknown_protocol,0x916f992df86795f24de6c268cfb9031fbb1155da,fresh contract,0.0,1770177.058806891,0.0,0.0,0.0,,,,explorer_snapshot,,value_at_risk>=1000000:1770177;chain_weight:bsc:10;unknown_protocol:10;unfamiliar_contract:12;unknown_verification_status:8;hidden_high_value_contract:18;balance_spike:20
94,recon_bravo_then_corecritical,0x3dbe077e7986657e95e1cc50089f17a5a4af0aae,bsc,unknown_protocol,0x3dbe077e7986657e95e1cc50089f17a5a4af0aae,fresh contract,0.0,446738.67489789176,0.0,0.0,0.0,,,,explorer_snapshot,,value_at_risk>=250000:446739;chain_weight:bsc:10;unknown_protocol:10;unfamiliar_contract:12;unknown_verification_status:8;hidden_high_value_contract:18;balance_spike:20
94,recon_bravo_then_corecritical,0x3cd6fb6b0cddd3610f0f4769aa7bb686cd4a4b55,bsc,unknown_protocol,0x3cd6fb6b0cddd3610f0f4769aa7bb686cd4a4b55,fresh contract,0.0,271352.2847510581,0.0,0.0,0.0,,,,explorer_snapshot,,value_at_risk>=250000:271352;chain_weight:bsc:10;unknown_protocol:10;unfamiliar_contract:12;unknown_verification_status:8;hidden_high_value_contract:18;balance_spike:20
94,recon_bravo_then_corecritical,0x278d858f05b94576c1e6f73285886876ff6ef8d2,bsc,unknown_protocol,0x278d858f05b94576c1e6f73285886876ff6ef8d2,fresh contract,0.0,814918.6996256559,0.0,0.0,0.0,,,,explorer_snapshot,,value_at_risk>=250000:814919;chain_weight:bsc:10;unknown_protocol:10;unfamiliar_contract:12;unknown_verification_status:8;hidden_high_value_contract:18;balance_spike:20
94,recon_bravo_then_corecritical,0x8e50bdc8e8986b260fc3de70fcc6eb2b2d4334ec,bsc,unknown_protocol,0x8e50bdc8e8986b260fc3de70fcc6eb2b2d4334ec,fresh contract,0.0,708360.9899929398,0.0,0.0,0.0,,,,explorer_snapshot,,value_at_risk>=250000:708361;chain_weight:bsc:10;unknown_protocol:10;unfamiliar_contract:12;unknown_verification_status:8;hidden_high_value_contract:18;balance_spike:20
